Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
82;tt22173666;21-05-2025;21-05-2025;;Azrael;Azrael;https://www.imdb.com/title/tt22173666/;Movie;7.85;86;2024;Action, Horror;11455;27-09-2024;E.L. Katz;60;49;52;41;54;10160;58;32306;60;
83;tt22939186;21-05-2025;21-05-2025;;Arcadian;Arcadian;https://www.imdb.com/title/tt22939186/;Movie;7.86;92;2024;Action, Drama, Horror, Sci-Fi, Thriller;23578;12-04-2024;Benjamin Brewer;62;68;57;41;55;22391;52;417000;58;
84;tt18559464;21-05-2025;21-05-2025;;My Old Ass;My Old Ass;https://www.imdb.com/title/tt18559464/;Movie;7.87;89;2024;Comedy, Drama, Romance;40160;27-09-2024;Megan Park;75;103;74;41;69;37475;70;255342;75;
85;tt15552142;21-05-2025;21-05-2025;;Caddo Lake;Caddo Lake;https://www.imdb.com/title/tt15552142/;Movie;7.88;103;2024;Drama, Mystery, Sci-Fi, Thriller;43492;10-10-2024;Logan George, Celine Held;59;25;55;41;68;400391;68;114032;63;
86;tt23055660;21-05-2025;21-05-2025;;Nickel Boys;Nickel Boys;https://www.imdb.com/title/tt23055660/;Movie;7.89;140;2024;Drama;19728;28-02-2025;RaMell Ross;86;105;91;41;70;16595;80;175430;81;
87;tt8310486;21-05-2025;21-05-2025;;Miller's Girl;Miller's Girl;https://www.imdb.com/title/tt8310486/;Movie;7.90;93;2024;Comedy, Drama, Thriller;23882;26-01-2024;Jade Halley Bartlett;49;39;41;41;52;22703;36;188881;50;
88;tt20221436;21-05-2025;21-05-2025;;Emilia Pérez;Emilia Pérez;https://www.imdb.com/title/tt20221436/;Movie;7.91;132;2024;Crime, Drama, Musical, Thriller;89451;13-11-2024;Jacques Audiard;68;153;70;41;54;84056;40;515069;64;Outedated, the current (as of may 24th on lb) is 2.0
89;tt13433802;21-05-2025;21-05-2025;;A Quiet Place: Day One;A Quiet Place: Day One;https://www.imdb.com/title/tt13433802/;Movie;7.92;99;2024;Drama, Horror, Sci-Fi, Thriller;152088;28-06-2024;Michael Sarnoski;82;256;82;41;75;625539;72;1545662;78;
90;tt16539454;21-05-2025;21-05-2025;;Pushpa: The Rule - Part 2;Pushpa: The Rule - Part 2;https://www.imdb.com/title/tt16539454/;Movie;7.93;201;2024;Action, Crime, Drama, Thriller;57178;05-12-2024;Sukumar;*;*;*;*;61;53954;56;23271;59;missing metacritic and rt, check release date
91;tt15009428;21-05-2025;21-05-2025;;Argylle;Argylle;https://www.imdb.com/title/tt15009428/;Movie;7.94;139;2024;Action, Comedy, Thriller;93233;02-02-2024;Matthew Vaughn;46;165;35;41;56;91457;46;231132;51;
92;tt4919268;21-05-2025;21-05-2025;;Bad Boys: Ride or Die;Bad Boys: Ride or Die;https://www.imdb.com/title/tt4919268/;Movie;7.95;115;2024;Action, Adventure, Comedy, Crime, Thriller;101144;07-06-2024;Adil El Arbi, Bilall Fallah;59;138;54;41;65;97876;64;187545;66;
93;tt11152168;21-05-2025;21-05-2025;;IF;If;https://www.imdb.com/title/tt11152168/;Movie;7.96;104;2024;Animation, Comedy, Drama, Family, Fantasy;58782;17-05-2024;John Krasinski;55;115;46;41;64;56681;58;147797;58;
94;tt11389872;21-05-2025;21-05-2025;;Kingdom of the Planet of the Apes;Kingdom of the Planet of the Apes;https://www.imdb.com/title/tt11389872/;Movie;7.97;145;2024;Action, Adventure, Drama, Sci-Fi, Thriller;153137;10-05-2024;Wes Ball;69;18;66;41;69;149207;66;494056;70;
95;tt14824600;21-05-2025;21-05-2025;;The Lord of the Rings: The War of the Rohirrim;The Lord of the Rings: The War of the Rohirrim;https://www.imdb.com/title/tt14824600/;Movie;7.98;134;2024;Animation, Action, Adventure, Drama, Fantasy;31624;13-12-2024;Kenji Kamiyama;56;84;54;41;63;27800;62;90054;63;
96;tt19356262;21-05-2025;21-05-2025;;Drive-Away Dolls;Drive-Away Dolls;https://www.imdb.com/title/tt19356262/;Movie;7.99;84;2024;Action, Comedy, Thriller;23778;23-02-2024;Ethan Coen;60;136;56;41;54;22849;56;220071;57;
97;tt21692408;21-05-2025;21-05-2025;;Kung Fu Panda 4;Kung Fu Panda 4;https://www.imdb.com/title/tt21692408/;Movie;7.100;94;2024;Animation, Action, Adventure, Comedy, Family, Fantasy;69112;08-03-2024;Mike Mitchell, Stephanie Stine;60;93;54;41;63;66547;54;311212;63;
98;tt14577874;21-05-2025;21-05-2025;;It's What's Inside;It's What's Inside;https://www.imdb.com/title/tt14577874/;Movie;7.101;103;2024;Comedy, Mystery, Sci-Fi, Thriller;43040;04-10-2024;Greg Jardin;69;45;56;41;66;4556;70;386392;68;
99;tt1896747;21-05-2025;21-05-2025;;Fly Me to the Moon;Fly Me to the Moon;https://www.imdb.com/title/tt1896747/;Movie;7.102;132;2024;Comedy, Romance;50889;12-07-2024;Greg Berlanti;60;124;53;41;66;480042;62;12842;65;
100;tt14948432;21-05-2025;21-05-2025;;Red One;Red One;https://www.imdb.com/title/tt14948432/;Movie;7.103;123;2024;Action, Adventure, Comedy, Fantasy, Mystery;141011;15-11-2024;Jake Kasdan;42;105;34;41;63;137282;46;29137;56;
101;tt22004344;21-05-2025;21-05-2025;;Snack Shack;Snack Shack;https://www.imdb.com/title/tt22004344/;Movie;7.104;112;2024;Comedy;12788;01-07-2024;Adam Rehmeier;63;19;64;41;70;11427;72;740041;68;check release date
102;tt24458622;21-05-2025;21-05-2025;;The Six Triple Eight;The Six Triple Eight;https://www.imdb.com/title/tt24458622/;Movie;7.105;127;2024;Drama, History, War;27075;20-12-2024;Tyler Perry;55;31;51;41;67;25166;64;67821;64;check release date
103;tt15574270;21-05-2025;21-05-2025;;I Saw the TV Glow;I Saw the TV Glow;https://www.imdb.com/title/tt15574270/;Movie;7.106;100;2024;Drama, Mystery;36978;17-05-2024;Jane Schoenbrun;79;126;86;41;58;34611;70;547454;71;
